date,equity,net_return,open_positions
2020-07-18,10037.861272759688,0.0037861272759687203,0
2020-07-19,9925.216912172084,-0.011221948334083298,0
2020-07-20,9997.992954608828,0.007332438482779535,0
2020-07-21,9651.306247689445,-0.03467563024832587,0
2020-07-22,9209.5685064104,-0.04576973623490588,0
2020-07-23,8949.81723819721,-0.02820449926968749,0
2020-07-24,8965.57905976085,0.001761133344306609,0
2020-07-25,9444.337092541271,0.05339956622870834,0
2020-07-26,9226.53247706194,-0.023061927305765395,0
2020-07-27,9881.040887866162,0.07093763691087562,0
2020-07-28,9887.531153903368,0.000656840317822871,0
2020-07-29,9942.976677796572,0.005607620651725043,0
2020-07-30,10191.999870206733,0.02504513492083804,0
2020-07-31,10240.243220719287,0.004733452818575845,0
2020-08-01,9829.602786506919,-0.04010065243191796,0
2020-08-02,10301.816672712419,0.04803997643258873,0
2020-08-03,10538.554796202454,0.022980230673014246,0
2020-08-04,10482.016857913735,-0.005364866377037925,0
2020-08-05,10353.382206326241,-0.012271937102483976,0
2020-08-06,10403.96321777361,0.004885457760504641,0
2020-08-07,10107.904542101605,-0.028456336251384662,0
2020-08-08,10397.788580618428,0.02867894500876944,0
2020-08-09,10504.789068126618,0.010290696591738868,0
2020-08-10,10462.026090101714,-0.004070807871302651,0
2020-08-11,10440.871818625346,-0.002022005230552959,0
2020-08-12,10613.56249434554,0.016539871259805494,0
2020-08-13,9982.562865729025,-0.059452198915555976,0
2020-08-14,9812.97988254687,-0.016987920383086053,0
2020-08-15,9768.728351071833,-0.004509489676396972,0
2020-08-16,9790.161874614725,0.0021940955641928106,0
2020-08-17,9650.950024956412,-0.014219565666149125,0
2020-08-18,9601.945937655648,-0.00507764387692855,0
2020-08-19,9672.968773064742,0.007396712694514029,0
2020-08-20,9796.82916043072,0.012804795536079716,0
2020-08-21,10242.376758625549,0.04547875551350744,0
2020-08-22,10378.73770684105,0.013313408735981636,0
2020-08-23,10426.329870103604,0.0045855444666631495,0
2020-08-24,10136.094032672328,-0.02783681708205832,0
2020-08-25,10611.606988417789,0.04691283981903771,0
2020-08-26,10619.21172199534,0.0007166429727232249,0
2020-08-27,10695.883112804715,0.00722006423985011,0
2020-08-28,10604.39868411532,-0.00855323751433612,0
2020-08-29,10565.719882715595,-0.003647429953540171,0
2020-08-30,10257.612466003146,-0.02916104346249815,0
2020-08-31,10208.108465279623,-0.00482607438013416,0
2020-09-01,9818.793240508541,-0.03813784170644763,0
2020-09-02,10392.335805349507,0.05841273472128439,0
2020-09-03,9119.210930307652,-0.12250613325894522,0
2020-09-04,9287.79748505371,0.018486967352159933,0
2020-09-05,10002.502629393859,0.07695098278039336,0
2020-09-06,10293.216140048566,0.029064077404028943,0
2020-09-07,10204.798903704079,-0.008589855215463293,0
2020-09-08,10542.08278153247,0.03305149675276464,0
2020-09-09,10264.607236587653,-0.026320751856634628,0
2020-09-10,9936.78862021132,-0.03193679103549529,0
2020-09-11,9866.316986118203,-0.007091992874818653,0
2020-09-12,9636.103751572078,-0.023333249364482445,0
