date,symbol,side,quantity,entry,exit,entry_fee,exit_fee,pnl
2020-07-18,BTCUSDT,-1,0.5464640426886693,9149.732845,9174.86514,2.0,2.0054935582110978,-17.73938908595502
2020-07-18,ETHUSDT,1,21.479847199240577,232.77632999999997,235.552165,2.0,2.023849804660122,55.60066184564447
2020-07-19,BTCUSDT,-1,0.5475765631504284,9165.71485,9213.594495,2.007572254551938,2.0180593631335224,-30.243403071647542
2020-07-19,ETHUSDT,-1,21.307087694905476,235.552165,239.229555,2.007572254551938,2.0389140430392856,-82.40095751595972
2020-07-20,BTCUSDT,-1,0.5391569544094234,9204.385505,9165.36039,1.985043382434417,1.9766271175748658,17.07899164886842
2020-07-20,ETHUSDT,-1,20.764013890878363,239.00044000000003,236.12800499999997,1.9850433824344167,1.961186070338158,55.69705078787371
2020-07-21,BTCUSDT,-1,0.5459684902287111,9156.199610000001,9394.695,1.9995985909217657,2.0516829781236883,-134.26224957385213
2020-07-21,ETHUSDT,-1,21.192784855582087,235.882,245.712795,1.9995985909217655,2.082935360279498,-212.42445734553326
2020-07-22,BTCUSDT,-1,0.5141711562751261,9385.305,9522.91908,1.9302612495378892,1.9585641257912243,-74.6460160086665
2020-07-22,ETHUSDT,-1,19.663858418211355,245.40723500000001,263.87187,1.930261249537889,2.075495636891469,-367.0917252703791
2020-07-23,BTCUSDT,-1,0.4840313460903948,9513.40092,9608.071635,1.84191370128208,1.8602431387287963,-49.525750456801106
2020-07-23,ETHUSDT,-1,17.467631458213276,263.618125,275.43765,1.84191370128208,1.9244973439665354,-210.22551775638684
2020-07-24,BTCUSDT,1,0.46574471851329047,9608.071635,9533.0311,1.7899634476394424,1.7759835544991778,-38.51567985280038
2020-07-24,ETHUSDT,1,16.245949231619363,275.447655,279.010425,1.7899634476394424,1.813115679857017,54.27750141644006
2020-07-25,BTCUSDT,1,0.4697528077135697,9542.86905,9695.569790000001,1.7931158119521702,1.8218084524941465,68.11667709049443
2020-07-25,ETHUSDT,1,16.050686925498116,279.28957499999996,305.10737,1.79311581195217,1.9588731498128464,410.64135568992634
2020-07-26,BTCUSDT,-1,0.4870439436309431,9695.569790000001,9936.50577,1.8888674185082543,1.9358059824529683,-121.17108326274646
2020-07-26,ETHUSDT,-1,15.474536738647517,305.157345,311.15549999999996,1.8888674185082543,1.9259948864728949,-96.63353221658252
2020-07-27,BTCUSDT,1,0.4642744990355871,9936.50577,11024.44502,1.8453064954123883,2.0473474755223493,501.2097963039673
2020-07-27,ETHUSDT,1,14.8252869852482,311.17551,321.76903500000003,1.8453064954123883,1.9081273147365494,153.29861450025334
