date,gross,turnover,net,passive_gross
2020-07-17,0.0055751794599864235,1.0,0.004675179459986424,0.007318618623135653
2020-07-18,-0.009408963476821408,1.0,-0.010308963476821408,0.009408963476821408
2020-07-19,0.009099923023185241,0.0,0.009099923023185241,-0.009099923023185241
2020-07-20,-0.032806693571360346,0.0,-0.032806693571360346,0.032806693571360346
2020-07-21,-0.04377611143640925,0.0,-0.04377611143640925,0.04377611143640925
2020-07-22,-0.02638645001741391,0.0,-0.02638645001741391,0.02638645001741391
2020-07-23,0.0035836372247990966,2.0,0.0017836372247990967,0.0035836372247990966
2020-07-24,0.05529199789818284,0.0,0.05529199789818284,0.05529199789818284
2020-07-25,-0.02131470764431498,2.0,-0.023114707644314978,0.02131470764431498
2020-07-26,0.07287192819793498,2.0,0.07107192819793498,0.07287192819793498
2020-07-27,0.0024071632752820094,1.0,0.0015071632752820094,-0.013621165864593165
2020-07-28,0.007422159884109103,0.0,0.007422159884109103,0.010389612610061771
2020-07-29,0.026964320506983386,1.0,0.026064320506983384,0.026964320506983386
2020-07-30,0.006486870588952032,1.0,0.005586870588952032,0.027735364905418836
2020-07-31,-0.03817350106744277,2.0,-0.039973501067442775,0.07925785053363132
2020-08-01,0.049758719627149284,1.0,0.048858719627149286,-0.049758719627149284
2020-08-02,0.02485624206901038,2.0,0.023056242069010382,0.02485624206901038
2020-08-03,-0.0035139623505845985,2.0,-0.005313962350584598,0.0035139623505845985
2020-08-04,-0.010444684670788962,1.0,-0.011344684670788962,0.03896037985315093
2020-08-05,0.006677004392270258,1.0,0.0057770043922702585,-0.006677004392270258
2020-08-06,-0.02669416520521739,2.0,-0.02849416520521739,-0.02669416520521739
2020-08-07,0.030526434060281327,0.0,0.030526434060281327,0.030526434060281327
2020-08-08,0.012066400738161565,2.0,0.010266400738161565,-0.012066400738161565
2020-08-09,-0.0022490742429249755,1.0,-0.0031490742429249752,0.01583394121375592
2020-08-10,-0.0002692535733671009,2.0,-0.002069253573367101,-0.04184319652299279
2020-08-11,0.018351633553535418,1.0,0.017451633553535417,0.018351633553535418
2020-08-12,-0.057571088146053495,2.0,-0.0593710881460535,0.057571088146053495
2020-08-13,-0.015156027820544093,0.0,-0.015156027820544093,0.015156027820544093
2020-08-14,-0.0027024966016237495,2.0,-0.004502496601623749,-0.0027024966016237495
2020-08-15,0.003975589080753683,0.0,0.003975589080753683,0.003975589080753683
2020-08-16,-0.012389400913655535,2.0,-0.014189400913655534,0.012389400913655535
2020-08-17,-0.0033105311957325467,1.0,-0.0042105311957325465,-0.024058285843090332
2020-08-18,0.009199588474535336,0.0,0.009199588474535336,-0.02514097320338865
2020-08-19,0.01461534888571503,1.0,0.01371534888571503,0.01461534888571503
2020-08-20,0.047213924878873215,2.0,0.04541392487887321,-0.047213924878873215
2020-08-21,0.015076336858112938,2.0,0.013276336858112938,0.015076336858112938
2020-08-22,0.0063664686966281026,2.0,0.004566468696628103,-0.0063664686966281026
2020-08-23,-0.026012413692117042,0.0,-0.026012413692117042,0.026012413692117042
2020-08-24,0.04864600266463881,0.0,0.04864600266463881,-0.04864600266463881
2020-08-25,0.002557099478727176,1.0,0.0016570994787271762,0.010078056311568773
